,ID,class,formula,interface_atom,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean Density,MagpieData mean CovalentRadius,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,PymatgenData mean X,PymatgenData mean atomic_mass,PymatgenData mean atomic_radius,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean Density_A,MagpieData mean NpValence_A,MagpieData mean NdValence_A,MagpieData mean NValence_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean FirstIonizationEnergy_B,MagpieData mean Density_B,MagpieData mean CovalentRadius_B,MagpieData mean NValence_B,PymatgenData mean X_B,PymatgenData mean atomic_mass_B,PymatgenData mean atomic_radius_B,DemlData mean molar_vol_B,MagpieData mean Polarizability_interface,MagpieData mean Density_interface,MagpieData mean NpValence_interface,MagpieData mean NdValence_interface,MagpieData mean NValence_interface,PymatgenData mean X_interface,PymatgenData mean atomic_radius_interface,DemlData mean molar_vol_interface
0,a3df813577b9c6e3e759f1a4fb8696c0u_t_b,u_t_b,Te1 As1 Br1,Br1,6.708968478363143,0.4201992031339304,0.0,3.9823409819822246,0.089187662036882,1.7511003235620963,0.0,-10.18609094650988,-0.2445322069170667,5.697260893247463,-1.950792988940105,3.746467904307357,4.286666666666666,5029.0,125.66666666666669,10.0,0.0,16.0,2.0,2.4133333333333336,94.14186666666666,1.2333333333333332,17.73,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,9.7886,5727.0,119.0,15.0,2.18,74.9216,1.15,12.95,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78
1,43a4da37cd31ecfa817800dc7b093b78u_t_b,u_t_b,As1 S1 I1,I1,6.913867720124239,0.4105844221957115,0.0641568110725836,3.843696739005013,-0.0375309521069565,1.5566797091727458,0.0,-10.54231755217624,-0.1075719069971701,4.824695001359753,-1.775325105272145,3.049369896087609,4.078333333333333,4209.0,121.0,6.666666666666667,0.0,12.666666666666666,2.0,2.473333333333333,77.96369,1.1833333333333331,18.066666666666663,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53,9.7886,5727.0,119.0,15.0,2.18,74.9216,1.15,12.95,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72
2,19bc5c127df78033433206bcf6ad939cu_t_b,u_t_b,Bi1 S1 I1,I1,4.106626593132567,0.4478902428020689,0.1396479356390993,4.087039278492224,-0.0120431353052756,2.316560293834247,0.0,-11.09084456830049,-0.2867231048153596,5.394929026582185,-1.713277058119434,3.681651968462751,2.775,5560.0,130.66666666666666,6.666666666666667,4.666666666666667,17.333333333333332,2.0,2.42,122.64995666666668,1.3333333333333333,20.85333333333333,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53,7.2855,9780.0,148.0,29.0,2.02,208.9804,1.6,21.31,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72
3,7ee8b38872f974878cec9027d6e5d5b5u_t_b,u_t_b,Zr1 I1 Cl1,I1,6.220282832827361,0.407798747960379,0.0783280864145055,3.636030951164163,-0.0486763313366568,2.0171349285303672,0.0,-14.351866640647316,-1.228455701448869,2.9517138684677646,0.8261964136713401,3.777910282139105,8.368333333333332,3818.071333333333,138.66666666666666,4.0,0.0,9.333333333333334,0.6666666666666666,2.3833333333333333,84.52715666666667,1.3166666666666669,19.043333333333333,2.18,3.214,5.0,0.0,7.0,3.16,1.0,17.39,6.6339,6511.0,175.0,4.0,1.33,91.224,1.55,14.02,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72
4,b2d1688b08bce01d1a97d94750da664au_t_b,u_t_b,Sb1 Se1 Cl1,Cl1,4.134008295215382,0.3784394686718192,0.0038446805991197,4.032085366867487,0.0629102947947478,1.4284158611019415,0.0,-11.28543666098816,-0.5371298873350039,5.980377698709775,-2.5178208657459136,3.462556832963861,4.183333333333333,3839.738,120.33333333333331,6.666666666666667,0.0,12.666666666666666,2.0,2.5866666666666664,78.72433333333333,1.2,17.333333333333332,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,2.18,3.214,5.0,0.0,7.0,3.16,1.0,17.39
5,eeea8b16d6b294ee4091908b9e7d1bf3u_t_b,u_t_b,Sb1 Se1 I1,I1,6.005005744476785,0.4393912294257669,0.0192147487738226,4.167840470945472,-0.0025779544042687,1.8545477117596083,0.0,-10.3047889284019,-0.3124702479929742,4.975965633087207,-1.6694586142567889,3.3065070188304184,5.131666666666667,5485.333333333333,132.66666666666666,10.0,0.0,16.0,2.0,2.42,109.20815666666664,1.3333333333333333,20.11,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72
6,d63e6dfdd44b57dc7776e6d6f3e2abc9u_t_b,u_t_b,Nb1 Te1 S1,Te1,8.188005090245467,0.4168684854895625,0.0675698581129793,3.5257303045654904,-0.0351447414902785,2.1367737387327232,1.6253251718275177,-19.889355964017422,-0.7600235868895618,4.917339461379736,-0.8078461933064787,4.109493268073257,8.033333333333333,5590.0,135.66666666666666,4.666666666666667,0.0,9.0,1.3333333333333333,2.0933333333333333,84.19045999999999,1.2833333333333334,15.606666666666667,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53,6.75885,8570.0,164.0,5.0,1.6,92.90638,1.45,10.83,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46
7,c9e8dd576ea06d135d56538b550504d6u_t_b,u_t_b,Zr1 Se1 S1,Se1,5.57779451770287,0.3647427854711092,0.0,3.7374974048201786,0.0032369717764339,1.423667063692163,0.0,-19.39907680495371,-1.47840872430724,5.550252499618415,-2.0497910351218125,3.500461464496602,8.19,4430.0,133.33333333333334,4.0,0.0,8.666666666666666,1.3333333333333333,2.1533333333333333,67.41633333333333,1.2333333333333332,15.323333333333332,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53,6.6339,6511.0,175.0,4.0,1.33,91.224,1.55,14.02,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
8,63ff528504f6d29c0efc934edd7b5566u_t_b,u_t_b,Ti1 Te1 Se1,Te1,35.88847560834248,0.4182806184045675,0.0,3.6453581404058206,-0.0122826828819966,1.8826372480318625,1.5878954705016188,-16.141589503252455,-0.9214092283856776,4.8283479058091885,-1.1910314056183875,3.637316500190801,7.956666666666667,5188.666666666667,139.33333333333334,7.333333333333333,0.0,12.0,1.3333333333333333,2.063333333333333,84.809,1.3166666666666669,15.840000000000002,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,6.82812,4507.0,160.0,4.0,1.54,47.867,1.4,10.64,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46
9,2f4fedb7bafc4432d8d56b171891f513u_t_b,u_t_b,Te1 As1 Br1,Br1,7.008894982511758,0.4540268655732301,0.162935288476279,3.867758829042519,0.1228485104957898,1.9854450192898656,0.0,-9.697285081081043,-0.0815969184407876,6.106722615832848,-1.6242883059597464,4.482434309873102,4.286666666666666,5029.0,125.66666666666669,10.0,0.0,16.0,2.0,2.4133333333333336,94.14186666666666,1.2333333333333332,17.73,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,9.7886,5727.0,119.0,15.0,2.18,74.9216,1.15,12.95,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78
