,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean Density,MagpieData mean CovalentRadius,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,PymatgenData mean X,PymatgenData mean atomic_mass,PymatgenData mean atomic_radius,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean Density_A,MagpieData mean NpValence_A,MagpieData mean NdValence_A,MagpieData mean NValence_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean FirstIonizationEnergy_B,MagpieData mean Density_B,MagpieData mean CovalentRadius_B,MagpieData mean NValence_B,PymatgenData mean X_B,PymatgenData mean atomic_mass_B,PymatgenData mean atomic_radius_B,DemlData mean molar_vol_B,MagpieData mean Polarizability_interface,MagpieData mean Density_interface,MagpieData mean NpValence_interface,MagpieData mean NdValence_interface,MagpieData mean NValence_interface,PymatgenData mean X_interface,PymatgenData mean atomic_radius_interface,DemlData mean molar_vol_interface
alphax_el,1.0,0.33046504326039294,0.4480717759340814,-0.46940343812993746,-0.2146968608036348,0.4709770053715378,0.656167303766236,-0.45075193720339946,0.16820194493843413,-0.1985069403854252,0.41553152270492905,0.44526202114180224,0.49112745882393954,0.4269372633310674,0.5726296735274771,0.019993762358034815,0.1554197544611789,-0.019984776938367442,0.03382776139447175,-0.7223548990564916,0.21366265798438128,0.4571546071823782,-0.33111747775963984,0.10333170856345725,0.4772895481061723,-0.6103259050611987,0.20770833401941058,0.3023218043682027,-0.506588244223857,0.3629206352408083,-0.08095150266766114,-0.3193786210764527,-0.021477746078562957,0.371036823196867,-0.3873558869138816,-0.43299619917846155,-0.25686432026316364,-0.01488279841958875,-0.3758597066747678,0.1033317085634572,0.47728954810617186,-0.6103259050611984,0.20770833401941058,0.3023218043682031,-0.506588244223857,0.3629206352408086,-0.08095150266766125
alphaz_el,0.33046504326039294,1.0,0.4008015963768204,-0.32181830654359617,-0.10253210715222273,0.4649063390727655,0.11936736544251345,-0.13805711558685077,0.4200934403705839,-0.09849673670288582,0.3600940217747398,0.4875456177375644,0.15414505549592641,0.3201150488674379,0.3115638811717347,0.21825419468186347,0.13653057132662677,0.1509294523755472,0.1703262082184629,-0.43193911385168965,0.2581803938876042,0.4352322173042469,-0.07009437637979868,0.09866568055422514,0.3805639097629512,-0.38794361210687334,0.19384631576798148,0.2719799512967442,-0.36285986760738137,0.3259740423494012,0.05203971197240446,-0.15557244075280463,-0.04529507786013592,-0.015324769202402352,-0.14750169364596985,-0.13143448747985223,-0.13922444907899587,0.04044169160057607,-0.17975379270474995,0.09866568055422434,0.380563909762951,-0.38794361210687395,0.19384631576798092,0.271979951296744,-0.36285986760738154,0.3259740423494005,0.05203971197240325
ehull,0.4480717759340814,0.4008015963768204,1.0,-0.28884753390342527,0.007567859606054406,0.5321236703586542,0.3813942730002414,-0.14300253840576949,0.4268670638058919,0.0037551182915872387,0.32063409498250345,0.5606063031758656,0.20139269515925987,0.3550767284777379,0.41231226693010187,0.08850310421141676,0.3072924677392276,0.18437806117469654,0.21266993947208812,-0.4567295140730404,0.32049079564408295,0.4387977523075934,-0.07978193372426352,-0.026335427215856643,0.3729155320151098,-0.4820617548804932,0.14907128753897997,0.29369920643420516,-0.3322219027675545,0.3105434746217253,-0.015733394681281668,-0.17893966996377603,0.01305637228209802,0.21676450195903435,-0.13382231167108014,-0.24842943706929915,-0.04853940640355786,0.09135412082423253,-0.09602495907429713,-0.0263354272158567,0.3729155320151097,-0.48206175488049346,0.14907128753897989,0.2936992064342052,-0.33222190276755453,0.3105434746217255,-0.01573339468128188
a,-0.46940343812993746,-0.32181830654359617,-0.28884753390342527,1.0,0.5654428128148531,-0.3509045458500164,-0.4180045181371774,0.7884253628787833,0.18354475882060656,0.5022080693673965,-0.6662920590470979,-0.4596185721093926,-0.6620511380030459,-0.22732920200627904,-0.2562337379916264,0.5033915244297051,0.04084428968745061,0.5162619324489377,0.46501898793298074,0.49167969699621294,0.3102748219842392,0.0784610886067904,0.8215842601129033,0.08647870144157677,-0.15875090557814117,0.4547002642636848,0.061641660370926395,-0.01894809398959983,0.2606152828522223,-0.026248093963906077,0.27122932947381545,0.4013893345516127,-0.11125697908141174,-0.4289976552853689,0.6370685622318729,0.4737987545013835,0.4700473788706486,0.24484837256296696,0.8306860762106834,0.08647870144157715,-0.15875090557814087,0.454700264263685,0.06164166037092665,-0.01894809398959979,0.26061528285222235,-0.026248093963906066,0.2712293294738164
dipole,-0.2146968608036348,-0.10253210715222273,0.007567859606054406,0.5654428128148531,1.0,-0.1002685203917277,-0.2827934883717488,0.6396384194096306,0.2896396210017193,0.7095377904454592,-0.4643822454130728,0.17687360086769333,-0.5402854722715827,-0.17370176621966815,-0.24983588380124094,0.44064278958892367,0.0995055794680788,0.46295313319636816,0.5730449483032463,0.32311544428105426,0.23333231122732712,0.03547499761855616,0.45119437604896745,-0.06026562263992718,-0.040733472705101116,0.1516012400450347,0.0817615265400093,0.09939081261208901,0.14881937754688904,0.025599379894696777,0.054963828081216054,0.47968584583894136,-0.18864054317896245,-0.4303511717280668,0.4313222199000662,0.3591070205765158,0.24894895755536134,0.0060073786393237336,0.592316591891415,-0.060265622639927144,-0.040733472705100915,0.15160124004503475,0.08176152654000891,0.0993908126120888,0.14881937754688906,0.02559937989469681,0.05496382808121619
density,0.4709770053715378,0.4649063390727655,0.5321236703586542,-0.3509045458500164,-0.1002685203917277,1.0,0.3289908815576963,-0.3426070500253704,0.26513726411499344,-0.2620400973745247,0.6786931913420515,0.81325290033982,0.3316259295869256,0.870851092604209,0.7616174084646207,0.1757187361604649,0.7177383859928821,0.5015514915034299,0.0846539857198547,-0.6164044288212761,0.7683897970073811,0.7458738918271597,0.03155004054613299,0.09808357798179662,0.5211183345616447,-0.5238320185346443,0.2711395281981024,0.40407868717178896,-0.4650920258023643,0.46553339939803623,0.08503693031911543,-0.33231464106998043,0.5381353903252148,0.5061578329889198,0.11082680394414154,-0.2997141383708133,0.3337636871611687,0.3294647898250405,-0.07617427623805652,0.09808357798179503,0.5211183345616445,-0.5238320185346459,0.27113952819810105,0.404078687171788,-0.4650920258023647,0.4655333993980349,0.08503693031911308
dos_at_ef_nosoc,0.656167303766236,0.11936736544251345,0.3813942730002414,-0.4180045181371774,-0.2827934883717488,0.3289908815576963,1.0,-0.5009947489649197,0.14223418639949575,-0.17533927450387443,0.28149042100169847,0.24511251566088343,0.3909428738488363,0.4002190880356138,0.3768158073600951,-0.06525639945976335,0.11217878707400664,-0.08623330037217772,-0.009346292002520698,-0.549227255073902,0.112521443263796,0.22509033320397678,-0.39362312844472713,0.08131710201117616,0.30213492799241815,-0.48741730109888054,0.09960537186426362,0.13797743345227528,-0.3796647163530857,0.18363828914054914,-0.15921235450597748,-0.2635482984343299,0.16673789276014914,0.3352936884765678,-0.26853959536027955,-0.3409357303424212,-0.11595606901109737,-0.021149340295718817,-0.3555984273507054,0.08131710201117615,0.3021349279924179,-0.4874173010988804,0.09960537186426366,0.13797743345227526,-0.37966471635308546,0.1836382891405491,-0.15921235450597773
energy,-0.45075193720339946,-0.13805711558685077,-0.14300253840576949,0.7884253628787833,0.6396384194096306,-0.3426070500253704,-0.5009947489649197,1.0,0.41493821778512324,0.40950089822002284,-0.4985097356028214,-0.2971946514770764,-0.74688345145878,-0.43458651103755536,-0.41806839235966814,0.5439913737108002,-0.08886647285547222,0.46935576000264295,0.4793104633292429,0.6564196186404203,0.13760099127860223,-0.05425424634558614,0.7844744400411333,-0.024308564278849615,-0.1822541352942136,0.5192349560462919,0.06908002455685705,0.05194322635112822,0.3777941048643385,-0.005197796086373814,0.33525099515290796,0.6355153666063921,-0.3686223367392751,-0.7001085414244457,0.49600165022357345,0.5690458447939982,0.18483803156435835,-0.10406504079818157,0.6826995945119123,-0.02430856427884953,-0.18225413529421358,0.5192349560462918,0.06908002455685683,0.05194322635112802,0.3777941048643387,-0.005197796086374245,0.33525099515290857
hform,0.16820194493843413,0.4200934403705839,0.4268670638058919,0.18354475882060656,0.2896396210017193,0.26513726411499344,0.14223418639949575,0.41493821778512324,1.0,0.3126273286394029,-0.11189556169288677,0.23853489230227992,-0.44626316773396196,0.2222105699269153,-0.05567097747639852,0.6329185217079036,0.09745220262492767,0.49958128392188655,0.733390699622565,0.04380336066069045,0.36393281516800413,0.2513994423543182,0.2675691252447884,0.09460090770327023,0.3178345472793995,-0.22669531702238277,0.23088127786890017,0.2920428879485226,-0.23111598148446205,0.3105286942977353,0.14509933465843466,0.5244617856480545,-0.10046521066495717,-0.6004372192474983,0.24321845484896684,0.5831206711116588,0.023464858147282983,-0.31822227327617586,0.18831812647683036,0.09460090770327029,0.31783454727939936,-0.2266953170223828,0.23088127786890053,0.2920428879485226,-0.23111598148446197,0.3105286942977354,0.14509933465843522
workfunction,-0.1985069403854252,-0.09849673670288582,0.0037551182915872387,0.5022080693673965,0.7095377904454592,-0.2620400973745247,-0.17533927450387443,0.40950089822002284,0.3126273286394029,1.0,-0.816745762445542,-0.031792434922097275,-0.6098354508849557,-0.18387313802609723,-0.4388418534694359,0.27340169146169,0.05344100915115333,0.297661045694819,0.7734719006271744,0.22001731933626492,0.05101257570959383,-0.16843774250794175,0.1841450660807241,-0.06582067199700456,-0.06582485443735361,-0.07036855655771176,-0.05997053424592439,-0.0810368351339523,0.010943403829065876,-0.13873794561428926,-0.20660058048991764,0.43198639207661277,-0.17048113687440034,-0.476140662439807,0.4516321655325343,0.43676673913990616,0.2585485468932055,0.019512796828144698,0.5734485887817168,-0.06582067199700489,-0.0658248544373536,-0.07036855655771235,-0.05997053424592478,-0.08103683513395274,0.010943403829065885,-0.13873794561428965,-0.2066005804899184
