ID,name,disproportionate,d,E,w_dft,w_dataset,band_e,band_h,w_band_e,w_band_h,V,w,T,a,p_e,p_h
aed120d3535adc43167d55ab49370e4b,Nb2CO2,3.7,2.66996,0.583634133,5.7829,5.751167258,2.25,1.83,2.2006,1.8134,5.42,1.53,0.18112229,3.127241176,1.834167258,2.179832742
112f4af761593f23ddcded728770d212,Sc4C3O2,2.1,2.76981,0.090557071,6.3588,6.300288382,1.78,2.31,1.8654,2.1486,4.57,1.75,0.166212149,3.277744176,2.383288382,1.630711618
507aa6e9f40492bb80c8f809c220b125,Ta4C3,3.5,3.46688,0.862776082,4.74,4.735762417,0.93,3.25,0.9241,3.0899,5.25,2,0.111009857,3.118081953,0.818762417,3.195237583
1c1982e7814f370c65665b82ba072f20,W2F2N,4.3,2.51819,0.493641852,5.2726,5.183388342,1.69,2.39,1.4527,2.5613,4.73,1.02,0.345043943,2.770285736,1.266388342,2.747611658
c19b5b4baba12a218f0f181027df60d4,W3H2N2O2,2.7,1.78489,0.184171237,2.9015,2.868638217,-0.23,3.84,0.29,3.724,3.13,1.74,0.228410241,2.836620912,-1.048361783,5.062361783
40555f61f2ba9c4ac226b7a59e32d552,Y2CF2,3.3,2.5927,0.245405316,4.1063,3.669753355,0.27,3.8,0.3192,3.6948,3.92,1.64,0.210659204,3.558789027,-0.247246645,4.261246645
55dd927d50996c0b5dbea3e3c5a7fd73,Zr2CH2O2,1.6,1.81303,-0.053412209,2.0934,2.049608356,-0.24,4.04,0.0575,3.9565,3.15,1.51,0.276508111,3.3111591,-1.867391644,5.881391644
fc9c743b9b35aee4c6b847baa549553b,Zr3N2,4.1,3.50365,0.168582413,4.4607,4.325110138,0.32,3.83,0.4151,3.5989,4.67,2.04,0.120678411,3.186896477,0.408110138,3.605889862
733cb7c460feb89a51b0afdf34676c12,Cr4C3F2,0.78,2.58016,-18.73624854,6.827,6.139911745,1.01,3.58,1.474,2.54,6.07,1.75,0.126422255,2.994572436,2.222911745,1.791088255
a7b04a0f319f2fb0e0f2d6b8fd925815,Cr4N3O2,4.8,2.56274,-23.04321616,6.7439,6.345241567,1.33,3.27,1.8907,2.1233,7.15,1.69,0.114448802,2.947095041,2.428241567,1.585758433
802707d07612139b4fca4bcb87903295,Hf3C2,2.1,3.62436,-7.487514021,4.637,4.347474745,1.59,2.97,2.3345,1.6795,4.08,2.12,0.128214644,3.298288259,0.430474745,3.583525255
fc600cf48174b330734acf084744d46b,Hf4C3F2,1.7,2.56659,0.1056391,3.1783,3.186975767,-0.05,4.04,-0.0038,4.0178,4.64,1.75,0.163952024,3.306668804,-0.730024233,4.744024233
4574f8e6f58a129a57d37fbdeb074c30,Mn3C2H2O2,1.9,1.9448,0.117626325,1.7967,1.697985351,-0.19,4.09,-0.0128,4.0268,3.91,2.1,0.13644527,2.964350276,-2.219014649,6.233014649
bd2babc715ea114183cf7f6a1f643ec9,Sc4C3,0.49,,,3.0089,3.010571961,-0.31,1.46,2.7273,1.2867,4.2,1.43,0.245185039,3.402476894,-0.906428039,4.920428039
35f62f17f06f11e44eb7ea4b63d823c4,Ta3N2,0.55,3.54473,0.031621475,5.3483,5.302180612,1.35,2.79,1.3882,2.6258,4.5,2,0.130670192,2.932054466,1.385180612,2.628819388
f823cbc40b77dc343337d002b6ce6e8f,Ti2CF2,2,2.60191,0.132141807,4.8721,4.793767078,0.96,3.11,0.9497,3.0643,4.72,1.73,0.164826764,3.048233768,0.876767078,3.137232922
65b359dfc649933ae84175eda75fc8bb,Y2N,1.2,,,3.9729,3.982752409,-0.97,2.42,3.4264,0.5876,3.29,2.25,0.141195947,3.437562955,0.065752409,3.948247591
8bec186a36b53a5f37c54d41999cc6d4,Y4F2N3,1.7,2.55082,0.137330881,2.9571,2.919675401,-0.09,4.12,-0.0244,4.0384,4.54,1.73,0.170648473,3.466566282,-0.997324599,5.011324599
fda8028303b77b10f98f1a5676e88eef,Zr3C2O2,1.6,2.73126,0.099094823,5.4891,5.436820619,1.18,2.9,1.2238,2.7902,5.15,1.51,0.193261468,3.296415043,1.519820619,2.494179381
