,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
spacegroup,1.0,-0.3515712374721118,0.12177591851911941,0.21217456857539949,0.015499092893393846,0.0826807503895734,-0.0026520193423266664,-0.11510273898859273,0.028173798731417846,0.07387152771610209,-0.24272871398406204,0.16352229659563525,-0.025080421643544723,4.2767064792495107e-16,5.509203823734595e-15,-2.677297536520805e-15,1.2414715143149498e-16,6.886507904334271e-16,1.0237268452776954e-16,-4.02288317063851e-16,1.6846270558532827e-16,-3.465107809821981e-16,2.7322778354735915e-16,6.7122634823839e-16,-6.88045413011216e-17,-1.9858556348455067e-16,-2.150782788772055e-16,-1.7338245067305236e-15,2.6213768965626902e-15,4.815098685969095e-16,6.635279585506191e-16,1.4563176428371226e-17
alphax_el,-0.3515712374721118,1.0,0.17430222960925662,0.25633037841484885,-0.10616949023919255,-0.0358303324398367,0.2555966070470108,0.39969352806204095,0.05483369651737447,0.3468876158138028,-0.2413887866823991,0.2900257647296823,0.20198956889154923,-0.05268536234832158,-0.016278918039012633,0.0794580135722878,0.12880548099096864,0.05319710488269739,-0.010578821996701664,-0.14528019943571593,0.15549784578005563,0.21925478643437643,0.04738323401335592,-0.09732325064865247,-0.18634472457976442,0.08184712341671482,0.2017445861321046,0.28113295221355256,-0.18179086389962662,-0.22767252027490406,0.15113058816993383,0.09945853502798586
alphaz_el,0.12177591851911941,0.17430222960925662,1.0,0.1654845272790704,0.06831743534416324,-0.0008222088652864943,-0.09513596637237527,-0.010137264759763105,0.11956878765736453,0.13347002587839282,-0.12143412810888524,-0.022763884728539373,-0.19880759985629107,-0.1765178904664432,0.14941332780919592,-0.13074475779028755,-0.09139093488793716,0.13167579314134328,-0.10935706117541512,-0.14989513584167732,0.10986914364869652,0.05448218940898202,0.05911392937863824,-0.0822570034186811,-0.2821009957831912,0.005839121118893847,0.015472904093127479,0.12724345974572132,-0.04430859299122094,-0.07711250399455497,-0.09358117652618834,-0.12342680779110082
ehull,0.21217456857539949,0.25633037841484885,0.1654845272790704,1.0,0.12743336047423418,0.11101811954144603,0.10365224610504747,0.2982268664986601,0.473433913977093,0.6383909514025796,-0.06086616706095956,-0.07126125725299089,-0.20625313451670504,-0.46594832277061177,0.47672814133706903,-0.29457527815021434,0.1780069136199908,0.3677784124225496,-0.014714856442199805,-0.4590313987257401,0.5740018730320107,0.36415097276529507,0.35730445695754537,-0.33389591436978816,-0.04078600851138713,0.49652497227421966,0.06394407741904387,0.4751224901326163,-0.044232510992194114,0.12976344640086013,-0.1341830280404791,-0.17965248737805312
a,0.015499092893393846,-0.10616949023919255,0.06831743534416324,0.12743336047423418,1.0,-0.005833668280104007,0.1327245550014153,-0.07796600161420977,0.6079862583712947,0.18406602478069412,-0.1580173025027103,-0.21018198579255495,-0.5803081093039566,0.05386362341022892,-0.16598135872545267,0.3529548382735282,0.47627163559925756,-0.21279771867250566,0.6274872734349853,-0.16250359295485023,0.23422416314345978,0.0341420760347157,0.2504349125725989,0.004658004086818652,-0.015777718146491107,0.33814184137732367,-0.13349489604872614,0.1271139608872208,0.46439968046135843,0.5371559812241637,0.3994340195468635,0.338394984757305
dipole,0.0826807503895734,-0.0358303324398367,-0.0008222088652864943,0.11101811954144603,-0.005833668280104007,1.0,0.1481460109885013,0.016261723760702233,0.13372522619890206,0.08033847622647208,-0.019157476457014613,0.08797011981842554,0.1317220606524038,-0.0014417741876723573,-0.09004310755504052,0.08936217227736898,0.1447213762432293,-0.033426972830081274,0.21625132842300604,-0.06421582802384308,-0.012757790554925765,-0.005754039281261245,0.14758494194565433,-0.0043892373757595735,0.05555210912726375,0.15499589058383545,-0.05443354146958822,0.09647544972716562,0.2805150051733767,0.20784301909630024,0.11142249818472226,0.05961479658894233
density,-0.0026520193423266664,0.2555966070470108,-0.09513596637237527,0.10365224610504747,0.1327245550014153,0.1481460109885013,1.0,0.20608167983499032,0.05575039150044741,0.347987253806549,-0.5411273651949154,0.7254538194238312,0.5869193096538422,0.23177328196462538,-0.33279522859503025,0.6469154010988812,0.8164344114584553,-0.2794668498514654,0.47316215341605683,-0.1117206155575965,0.32516759598237627,0.6349777443209091,0.1236529732132448,0.09138507234041934,0.051951298259744004,0.5151501815577184,0.015328486468996476,0.30757903048768576,-0.11749982387252246,-0.06387990911970533,0.672375074865497,0.6334277058817076
dos_at_ef_nosoc,-0.11510273898859273,0.39969352806204095,-0.010137264759763105,0.2982268664986601,-0.07796600161420977,0.016261723760702233,0.20608167983499032,1.0,0.07845626143278402,0.35373599156856195,-0.06032655725704202,0.0855726703871264,0.07379741707944194,-0.13513580092497696,0.0987103945808828,-0.014921212541176123,0.1433124156243664,0.06803635447544737,-0.0753967072104968,-0.20541275907590387,0.26601427516542453,0.2901902717272597,0.05978682805040819,-0.18573035525311804,-0.050934557522857006,0.1467125952973656,0.2005259624501933,0.2233537266513999,-0.26945250171520446,-0.25074723831227386,0.08981872194477535,0.06463709800846447
energy,0.028173798731417846,0.05483369651737447,0.11956878765736453,0.473433913977093,0.6079862583712947,0.13372522619890206,0.05575039150044741,0.07845626143278402,1.0,0.6363528469405918,-0.03865393727967013,-0.26750440044586016,-0.5268462821147575,-0.4219656742654565,0.1257475240781884,-0.025891058536693597,0.4243850442160074,0.03729077491350481,0.3988148744539259,-0.6384367809342522,0.5476235170567821,-0.05749603038636483,0.5728699082171805,-0.5487294574696312,-0.17063410208879098,0.36082727578077867,0.02496310197199077,0.37641414812441654,0.10830037091299725,0.3198345663182078,0.27517067927220834,0.25230001655504125
hform,0.07387152771610209,0.3468876158138028,0.13347002587839282,0.6383909514025796,0.18406602478069412,0.08033847622647208,0.347987253806549,0.35373599156856195,0.6363528469405918,1.0,-0.42554609796697374,0.2469996262539037,-0.11465365449887589,-0.6179563218421039,0.24636572377516827,-0.16313100887621776,0.44825982210874743,0.23882545551755782,0.07961848527788429,-0.8460541197988426,0.6874063828806828,0.37859841577645925,0.6844225851530883,-0.7518974546090856,-0.17273875713667292,0.4972079966891381,0.1456117434703283,0.698403748293716,-0.346220701891802,-0.20097809873895062,0.24461824662886783,0.17048846849551802
