ID,class,d,w_slab,w_interface,dos_at_ef_nosoc,energy,hform,workfunction,efermi,band_e,band_h,T,w_band_e,w_band_h
cfa5b953066ce3cfb9f5675c1d164d72,H,3.6,5.6427,5.3124,0.271653449,-11.81614829,0.053338596,4.161922711,-1.42732739,0.75,3.34,0.19836556,1.3954,2.6186
3a2eeaafebc0152c91cd4f26c3825dd2,H,2.4,5.0547,5.323,2.785810673,-6.224771111,0.356750309,5.067961277,-0.840368584,1.03,2.95,0.154483629,1.406,2.608
d9dcfc64d4831010e5c751c2bf01fbdf,H,0.5,4.1907,4.1511,1.184551173,-15.77383666,-0.029495856,4.177358968,0.039042366,0.35,3.77,0.154838707,0.2341,3.7799
c57efbf86e51f4a40bc410156bd5651a,H,3.1,4.9022,4.9367,0,-11.35004354,-0.208606492,4.116844399,-1.74052495,0.86,3.16,0.247538634,1.0197,2.9943
8e981d489c3898a53a87720d2f3e5216,H,4.3,4.9489,4.5159,1.965120717,-9.786364434,0.127290607,4.884231158,-0.111851553,0.47,3.59,0.123350213,0.5989,3.4151
546a5fd0345b27f2d78abe216bf60137,H,0.079,4.1363,4.1365,0.271653449,-11.81614829,0.053338596,4.161922711,-1.42732739,0.07,3.96,0.231476235,0.2195,3.7945
23a6ab26358d0c75add756bc3d3f20ff,H,0.43,5.1023,5.102,2.441087289,-15.46278849,-0.0531205,5.111307139,-1.367814632,1,3.1,0.195033717,1.185,2.829
4006406766d318f5ee1c1252d796f64a,H,0.81,4.4096,4.3737,1.174897944,-14.2620827,-0.235056832,4.39695505,-0.355968967,0.61,3.51,0.153777214,0.4567,3.5573
36eaea3e7f60a8ab7b00677cd45fc6d4,H,0.66,5.6397,5.7042,0,-11.26873949,-0.082288184,5.620632433,-1.84319127,1.75,2.34,0.175879312,1.7872,2.2268
3d740b2d1476ede431f1438c0a5b5ed4,H,4,5.4977,5.1426,0,-22.26199801,-0.873548574,4.779683251,-0.134947256,1.22,2.87,0.169442339,1.2256,2.7884
e2523c6795462e34b9f1c170e948c5af,H,2.3,6.085,6.0197,0,-18.03821452,-1.223209127,5.915598108,-1.89300902,2.1,2.03,0.177055129,2.1027,1.9113
9f53eb5caf23fb63cbddd989f7c7b24a,T,2.3,4.2059,4.3483,0.825108909,-18.00067138,-0.129621311,4.222397336,0.653367385,0.3,3.79,0.147618674,0.4313,3.5827
77ab5e6b0050fca23b22775047a6c7b5,T,3.1,4.6125,4.6271,2.843345397,-18.03241831,-0.432130166,4.642056762,-0.096728342,0.7,3.43,0.161302297,0.7101,3.3039
9fdb1062a0e509945ef6d07f48d9552b,T,2.5,6.0029,5.5749,10.59349246,-16.15293402,-0.283169008,6.038239255,-2.467143213,1.63,2.46,0.190994043,1.6579,2.3561
95aede789c29d1c860ba649aba5b03f5,T,1.6,6.7074,6.575,2.959648631,-16.57036755,-1.251491392,6.705232561,-3.56545341,2.52,1.57,0.210787233,2.658,1.356
b28c9151cb99cc164af0846b2de17db1,T,3.1,5.3273,5.1426,1.162487529,-17.02172582,-1.122123365,5.344682144,-1.487608671,1.28,2.84,0.174330584,1.2256,2.7884
681b4c0df977d5c967e17e0604d56fc6,T,1.5,4.7931,4.9047,1.487193378,-15.17239464,-0.691008907,4.858826273,-0.758561196,0.98,3.15,0.150318288,0.9877,3.0263
f237f2fa87c4b20474d5a421cd95b020,T,1.1,5.0322,5.0785,1.72081369,-17.56625424,-0.692202153,5.013071153,-0.922368931,1.13,2.97,0.175879312,1.1615,2.8525
7ad80ceadeff731637281635d5ce8a58,T,2.5,3.9972,4.1207,0.945341676,-17.65671993,0.079372523,3.995058793,0.933184865,0.08,4.01,0.133532165,0.2037,3.8103
