,Unnamed: 0,n,composition,MagpieData minimum Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData minimum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData range NsUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData mode GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,3-norm,frac s valence electrons,frac p valence electrons,density,vpa,packing fraction,label,distance
0,0,1.752063640396657,S6 K6,16.0,16.0,88.0,85.0,45.5,42.5,3.0,7.033300000000004,35.58165,3.516650000000002,336.53,51.83000000000004,362.445,25.91500000000002,336.53,16.0,15.0,8.5,7.5,1.0,4.0,1.0,0.5,105.0,203.0,98.0,154.0,49.0,105.0,2.58,1.7,0.8800000000000002,0.82,1.5,0.5,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.5,2.5,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5,0.5,1.0,25.786875,49.44677083335,23.65989583335,25.786875,2.202,1.101,0.0,70.0,229.0,159.0,149.5,79.5,70.0,2,0.6299605249474366,0.4285714285714285,0.5714285714285714,1.8756476964103057,31.5009689677687,0.7744369443885062,453,3.276080730274406
1,1,1.6528587356456086,K12 V4 O16,8.0,8.0,87.0,84.0,50.375,36.625,87.0,34.9421,29.02925,13.02985,54.8,2128.2,426.47375,439.1315625,54.8,16.0,15.0,9.0,7.0,16.0,4.0,2.0,1.0,66.0,203.0,137.0,128.25,62.25,66.0,3.44,2.23125,1.20875,3.44,1.625,0.46875,4.0,4.0,2.0,2.0,3.0,3.0,0.375,0.65625,0.0,0.0,1.0,6.0,5.0,4.0,2.25,6.0,1.0,2.0,2.0,1.0,1.0,2.0,7.0,0.875,1.0,6.0,2.25,1.1875,2.0,9.105,33.5937500000125,29.634687500015623,9.105,0.0,0.0,0.0,12.0,229.0,217.0,120.5,108.5,12.0,3,0.5642946794342502,0.40625,0.5,2.545995309332275,18.93334348355116,0.9753416232787891,328,2.5151269612053833
2,2,1.867857596285113,Rb4 Zr2 O6,8.0,8.0,87.0,83.0,52.16666666666666,34.833333333333336,87.0,75.22460000000001,51.69296666666667,35.69356666666666,54.8,2073.2,486.22,547.2600000000001,54.8,16.0,15.0,9.0,7.0,16.0,5.0,3.0,1.5,66.0,220.0,154.0,135.5,69.5,66.0,3.44,2.215,1.225,3.44,1.6666666666666667,0.4444444444444444,4.0,4.0,2.0,2.0,2.0,2.0,0.3333333333333333,0.5555555555555556,0.0,0.0,1.0,6.0,5.0,4.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,8.0,1.3333333333333333,1.0,7.0,2.6666666666666665,1.777777777777778,2.0,9.105,38.65916666666666,34.708888888888886,9.105,0.0,0.0,0.0,12.0,229.0,217.0,114.66666666666669,102.66666666666669,12.0,3,0.5503212081491045,0.4166666666666667,0.5,4.222206461726383,20.33017366549004,1.0414410014778137,328,1.4583386549963202
3,3,2.67688749607948,Mn4 O4 F4,8.0,8.0,93.0,41.0,77.33333333333333,16.88888888888889,52.0,38.938645,29.978616066666664,16.63961928888889,53.5,1465.5,542.4333333333333,651.0444444444444,53.5,17.0,10.0,13.333333333333334,4.222222222222222,7.0,4.0,2.0,0.8888888888888888,57.0,139.0,82.0,87.33333333333333,34.44444444444444,57.0,3.98,2.99,0.96,1.55,2.0,0.0,5.0,5.0,3.0,2.0,5.0,5.0,1.6666666666666667,2.2222222222222223,0.0,0.0,6.0,7.0,1.0,6.666666666666667,0.4444444444444443,6.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,5.0,1.6666666666666667,1.0,4.0,2.6666666666666665,1.5555555555555554,1.0,9.105,9.7666954023,0.4805938697333332,9.105,1.97,0.6566666666666666,0.0,12.0,217.0,205.0,81.33333333333333,90.44444444444444,12.0,3,0.4807498567691361,0.3,0.4499999999999999,4.41114894119245,11.285192090531725,0.3816924478880579,444,2.2584637665150686
4,4,1.7932323701442967,Li2 Co1 Si1 O4,3.0,8.0,87.0,86.0,60.75,30.5625,87.0,51.992195,20.612286875,11.4485303125,54.8,1713.2,572.6975,577.40125,54.8,16.0,15.0,11.125,5.59375,16.0,4.0,2.0,0.5625,66.0,128.0,62.0,94.625,28.625,66.0,3.44,2.4375,1.0025,3.44,1.75,0.375,4.0,4.0,2.25,1.75,7.0,7.0,0.875,1.53125,0.0,0.0,1.0,9.0,8.0,4.875,2.15625,6.0,1.0,4.0,4.0,1.5,1.125,2.0,3.0,0.375,1.0,3.0,2.125,0.6875,2.0,9.105,12.536458333325,4.00432291665625,9.105,0.773,0.096625,0.0,12.0,229.0,217.0,115.875,103.875,12.0,4,0.524792056726051,0.358974358974359,0.4615384615384615,3.270411283234912,10.465811374662316,0.5379479032173283,256,1.3414777323201026
5,5,1.6774943616398088,Ca2 Tl2 F6,9.0,9.0,93.0,86.0,72.4,26.16,93.0,185.3848968,60.29130192,57.636799232,53.5,1061.5,370.5,380.4,53.5,17.0,15.0,13.2,4.5600000000000005,17.0,6.0,4.0,1.44,57.0,176.0,119.0,98.4,49.68,57.0,3.98,2.912,1.2816,3.98,2.0,0.0,5.0,5.0,3.2,2.16,10.0,10.0,2.0,3.2,14.0,2.8,2.0,27.0,25.0,10.0,6.8,7.0,0.0,5.0,5.0,1.6,1.36,1.0,0.0,0.0,0.0,5.0,1.6,1.36,1.0,9.7075,18.7605,10.863600000000002,9.7075,1.97,1.182,1.97,15.0,225.0,210.0,92.8,93.36,15.0,3,0.6144633651371695,0.2,0.32,5.434534453437283,18.42219661539054,0.5941824849487821,0,2.153250821861113
6,6,5.083371584555542,Se6 Pd4 Tl2,34.0,34.0,89.0,27.0,77.83333333333333,11.166666666666666,89.0,125.4233,109.01721666666668,31.788694444444445,494.0,1334.05,952.5166666666668,583.688888888889,494.0,16.0,6.0,13.5,2.5,16.0,6.0,2.0,0.6666666666666666,120.0,145.0,25.0,130.5,10.5,120.0,2.55,2.2783333333333338,0.2716666666666665,2.55,1.3333333333333333,0.8888888888888888,4.0,4.0,2.1666666666666665,1.833333333333333,10.0,0.0,10.0,0.0,14.0,2.333333333333333,10.0,27.0,17.0,15.833333333333334,3.888888888888889,16.0,0.0,5.0,5.0,1.8333333333333333,1.2222222222222223,2.0,0.0,0.0,0.0,5.0,1.8333333333333333,1.2222222222222223,2.0,14.41,22.24833333333333,5.225555555555556,25.92,0.799,0.3995,0.799,14.0,225.0,211.0,114.33333333333331,100.33333333333331,14.0,3,0.5503212081491045,0.0842105263157894,0.1368421052631578,7.342954277659433,24.653203650983247,0.4788483244704392,17,5.531419634914341
7,7,2.0323401126123875,O2 Ca1 Hg1,8.0,8.0,87.0,80.0,63.0,28.0,87.0,184.5906,68.1667,66.21164999999999,54.8,1060.2,364.73,375.135,54.8,16.0,14.0,11.5,4.75,16.0,6.0,4.0,1.5,66.0,176.0,110.0,110.0,44.0,66.0,3.44,2.47,0.97,3.44,2.0,0.0,4.0,4.0,2.0,2.0,10.0,10.0,2.5,3.75,14.0,3.5,2.0,26.0,24.0,10.0,8.0,6.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,9.105,20.304396551725,11.199396551725002,9.105,0.0,0.0,0.0,12.0,225.0,213.0,103.75,91.75,12.0,3,0.538608672507971,0.2,0.2,6.264985345080076,18.06763498339124,0.5586750676147103,102,4.495721905966837
8,8,3.369173983837696,Se2 Mo1,34.0,34.0,89.0,39.0,76.0,17.333333333333332,89.0,17.0,84.62666666666667,7.555555555555557,494.0,2402.0,1294.6666666666667,1067.5555555555557,494.0,16.0,10.0,12.666666666666666,4.444444444444445,16.0,5.0,1.0,0.4444444444444443,120.0,154.0,34.0,131.33333333333334,15.111111111111114,120.0,2.55,2.42,0.1733333333333332,2.55,1.6666666666666667,0.4444444444444444,4.0,4.0,2.6666666666666665,1.777777777777778,10.0,5.0,8.333333333333334,2.222222222222222,0.0,0.0,6.0,16.0,10.0,12.666666666666666,4.444444444444445,16.0,1.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,5.0,1.6666666666666667,2.0,4.0,3.333333333333333,1.777777777777778,2.0,15.69,22.51,4.546666666666668,25.92,0.799,0.5326666666666667,0.799,14.0,229.0,215.0,85.66666666666667,95.55555555555554,14.0,2,0.6933612743506347,0.131578947368421,0.2105263157894736,5.969895615234969,23.5372316154244,0.3612900554081852,114,2.6176026778793893
9,9,2.077186558785705,Li8 Zr6 O16,3.0,8.0,87.0,86.0,55.46666666666667,33.635555555555555,87.0,84.283,28.628746666666668,25.038101333333334,54.8,2073.2,575.8106666666666,620.8757333333332,54.8,16.0,15.0,9.6,6.826666666666667,16.0,5.0,3.0,0.96,66.0,175.0,109.0,104.33333333333331,40.888888888888886,66.0,3.44,2.362,1.1498666666666666,3.44,1.7333333333333334,0.3911111111111111,4.0,4.0,2.1333333333333333,1.991111111111111,2.0,2.0,0.4,0.6400000000000001,0.0,0.0,1.0,6.0,5.0,4.266666666666667,1.848888888888889,6.0,1.0,2.0,2.0,1.0666666666666669,0.9955555555555556,2.0,8.0,1.6,1.0,7.0,2.933333333333333,2.0266666666666664,2.0,9.105,13.91988888888,5.135881481472,9.105,0.0,0.0,0.0,12.0,229.0,217.0,106.26666666666668,100.55111111111113,12.0,3,0.5632240333522832,0.40625,0.5,4.182429031022123,11.366397831304424,0.6165191268611572,312,2.7632211460852782
