,Unnamed: 0,n,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData mean NsUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData mean NfUnfilled,MagpieData minimum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData mean GSmagmom,MagpieData maximum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,label,distance
0,0,0.0,Ag1 Au2 S2,16.0,79.0,16.0,88.0,23.0,74.6,10.72,66.0,164.901569,113.1862676,67.02424111999999,388.36,1337.33,948.97,937.262,439.1216,388.36,11.0,5.0,13.0,2.4,3.0,1.28,105.0,145.0,40.0,125.4,16.32,105.0,1.93,2.58,2.434,0.2015999999999999,2.54,1.0,1.4,1.6,1.9200000000000004,0.0,0.0,10.0,10.0,6.0,4.8,0.0,14.0,5.6,6.0,25.0,19.0,14.6,8.319999999999999,6.0,1.0,0.6,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4,0.48,1.0,16.33,9.456875,20.26075,4.4209,16.7,2.202,0.8808,0.0,0.0,0.0,225.0,163.0,74.4,322,2.7969744699379673
1,1,0.0,Ag1 W6 Br14,35.0,74.0,35.0,95.0,44.0,81.0,18.666666666666668,95.0,103.936,110.93162857142856,41.66192653061224,265.8,3695.0,3429.2,1291.7204761904763,1373.3025850340136,265.8,6.0,11.0,13.571428571428571,4.571428571428571,2.0,0.8253968253968251,120.0,162.0,42.0,133.1904761904762,17.587301587301592,120.0,1.93,2.96,2.739523809523809,0.293968253968254,2.96,1.0,1.9523809523809523,3.333333333333333,2.2222222222222223,5.0,4.0,10.0,6.0,8.285714285714286,2.4489795918367343,10.0,14.0,4.0,11.0,20.0,9.0,17.571428571428573,1.387755102040817,17.0,1.0,0.0476190476190476,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,6.0,1.7142857142857142,0.0,0.0,1.0,5.0,2.4285714285714284,2.0408163265306123,1.0,16.05,13.43,25.01666666666667,5.951111111111111,29.48,1.457,0.9713333333333332,1.457,0.0,0.0,229.0,118.8095238095238,73.07936507936508,0,3.1606197055446668
2,2,1.83,Ag0.5 Ge1 Pb1.75 S4,16.0,82.0,16.0,88.0,23.0,83.48275862068965,4.984542211652795,88.0,175.135,85.16332413793103,62.04596432818074,388.36,1234.93,846.57,611.4996551724139,251.48014268727712,388.36,11.0,5.0,14.89655172413793,1.2175980975029723,3.0,1.103448275862069,105.0,146.0,41.0,119.72413793103448,16.24732461355529,105.0,1.93,2.58,2.3962068965517243,0.2028061831153389,2.58,1.0,1.9310344827586208,2.9655172413793105,1.1414982164090366,4.0,0.0,10.0,10.0,4.482758620689655,4.946492271105826,0.0,14.0,3.3793103448275863,6.0,28.0,22.0,12.758620689655173,7.700356718192628,6.0,1.0,0.0689655172413793,4.0,4.0,2.6206896551724137,1.0463733650416172,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.689655172413793,0.9940546967895364,2.0,16.33,11.78,25.31172413793104,1.875196195005945,25.786875,2.202,1.2677241379310344,2.202,0.0,0.0,225.0,139.48275862068965,76.6706302021403,422,2.5820440797433077
3,3,1.51,Ag0.5 Ge1 Pb1.75 Se4,32.0,82.0,34.0,89.0,24.0,84.03448275862068,5.479191438763378,89.0,134.56,111.03642758620688,46.42379357907253,494.0,1234.93,740.9300000000001,669.7837931034484,227.362568370987,494.0,11.0,5.0,14.89655172413793,1.2175980975029723,2.0,0.760998810939358,120.0,146.0,26.0,128.0,11.03448275862069,120.0,1.93,2.55,2.3796551724137927,0.1879667063020213,2.55,1.0,1.9310344827586208,2.9655172413793105,1.1414982164090366,4.0,10.0,10.0,0.0,10.0,0.0,10.0,14.0,3.3793103448275863,11.0,28.0,17.0,18.27586206896552,4.694411414982163,16.0,1.0,0.0689655172413793,4.0,4.0,2.6206896551724137,1.0463733650416172,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.689655172413793,0.9940546967895364,2.0,16.33,11.78,25.385172413793107,1.905588585017835,25.92,0.799,0.4936551724137931,0.799,0.0,0.0,225.0,108.58620689655172,104.37098692033292,425,1.6825022400979819
4,4,0.0,Ag2 B1 Br1,5.0,47.0,47.0,95.0,30.0,74.25,10.375,65.0,97.0572,76.61285000000001,32.900924999999994,265.8,2348.0,2082.2,1270.9150000000002,538.5425,1234.93,11.0,6.0,13.0,2.0,3.0,1.0,84.0,145.0,61.0,123.5,21.5,145.0,1.93,2.96,2.215,0.3724999999999999,1.93,1.0,1.5,1.5,1.75,0.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,0.0,3.0,17.0,14.0,10.5,3.75,11.0,1.0,0.5,5.0,5.0,1.5,1.75,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.5,1.0,7.1725,22.3075,17.328125,6.075937500000001,16.33,1.524,0.74525,0.0,0.0,0.0,225.0,170.0,55.0,2,4.127192876234541
5,5,0.0,Ag2 Bi1 O3,8.0,83.0,8.0,87.0,22.0,79.5,9.666666666666666,87.0,192.981,78.78583333333334,62.78643333333334,54.8,1234.93,1180.13,529.7766666666668,474.9766666666667,54.8,11.0,5.0,14.166666666666666,2.111111111111111,4.0,1.6666666666666667,66.0,148.0,82.0,106.0,40.0,66.0,1.93,3.44,2.7,0.7399999999999999,3.44,1.0,1.6666666666666667,2.5,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,14.0,2.333333333333333,6.0,29.0,23.0,11.5,5.833333333333333,6.0,1.0,0.3333333333333333,3.0,3.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.8333333333333333,0.5555555555555555,2.0,9.105,23.845,15.4875,6.3825,9.105,0.0,0.0,0.0,0.0,0.0,225.0,83.0,94.66666666666669,1,1.5321462600776632
6,6,1.98,Ag2 Ge1 S3,16.0,47.0,16.0,88.0,23.0,78.83333333333333,9.222222222222223,88.0,75.8032,64.09523333333333,32.030233333333335,388.36,1234.93,846.57,807.7233333333334,419.3633333333334,388.36,11.0,5.0,14.0,2.0,2.0,0.8333333333333334,105.0,145.0,40.0,120.83333333333331,16.11111111111111,105.0,1.93,2.58,2.268333333333333,0.3116666666666667,2.58,1.0,1.6666666666666667,2.333333333333333,1.6666666666666667,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,6.0,14.0,8.0,9.0,3.0,6.0,1.0,0.3333333333333333,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.6666666666666666,2.0,16.33,9.456875,22.1709375,3.893958333333334,25.786875,2.202,1.1648333333333334,2.202,0.0,0.0,225.0,147.5,77.5,141,2.1671171186223583
7,7,0.9,Ag2 Ge1 Se3,32.0,47.0,34.0,89.0,24.0,79.33333333333333,9.666666666666666,89.0,35.2282,87.54273333333333,13.550311111111114,494.0,1234.93,740.9300000000001,860.5433333333334,366.54333333333335,494.0,11.0,5.0,14.0,2.0,1.0,0.4444444444444443,120.0,145.0,25.0,128.33333333333334,11.111111111111114,120.0,1.93,2.55,2.2533333333333334,0.2966666666666666,2.55,1.0,1.6666666666666667,2.333333333333333,1.6666666666666667,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,1.0,0.3333333333333333,4.0,4.0,1.6666666666666667,1.111111111111111,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.6666666666666666,2.0,16.33,9.590000000000003,22.2375,3.9383333333333344,25.92,0.799,0.4633333333333334,0.799,0.0,0.0,225.0,119.5,105.5,174,2.7348909501346204
8,8,2.47,Ag2 Hg1 I4,47.0,80.0,53.0,96.0,31.0,83.57142857142857,14.20408163265306,96.0,92.7218,131.99204,19.599417142857146,234.32,1234.93,1000.61,607.3685714285714,358.6065306122449,386.85,11.0,6.0,14.571428571428571,2.775510204081633,1.0,0.2448979591836737,132.0,145.0,13.0,139.71428571428572,3.020408163265309,139.0,1.93,2.66,2.357142857142857,0.3461224489795919,2.66,1.0,1.7142857142857142,2.857142857142857,2.4489795918367347,5.0,10.0,10.0,0.0,10.0,0.0,10.0,14.0,2.0,11.0,26.0,15.0,16.571428571428573,3.183673469387754,17.0,1.0,0.2857142857142857,1.0,1.0,0.5714285714285714,0.489795918367347,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.2448979591836735,1.0,16.33,26.685,32.85108374384286,11.615904292751022,43.015,1.062,0.6068571428571429,1.062,0.0,0.0,225.0,124.57142857142856,69.22448979591836,115,2.2106374964417763
9,9,3.06,Ag2 Mo1 I4 O14,8.0,53.0,8.0,96.0,46.0,84.85714285714286,7.102040816326528,87.0,110.90507,49.68123238095239,44.909109841269846,54.8,2896.0,2841.2,365.7361904761905,414.5815873015873,54.8,6.0,11.0,15.238095238095235,1.6870748299319736,3.0,1.3333333333333333,66.0,154.0,88.0,91.61904761904762,34.15873015873016,66.0,1.93,3.44,3.0866666666666664,0.4711111111111111,3.44,1.0,1.8571428571428568,3.619047619047619,1.034013605442177,4.0,0.0,10.0,10.0,3.095238095238096,4.126984126984127,0.0,0.0,0.0,6.0,17.0,11.0,8.571428571428571,3.6734693877551017,6.0,1.0,0.1428571428571428,2.0,2.0,1.5238095238095235,0.634920634920635,2.0,5.0,0.238095238095238,0.0,0.0,1.0,5.0,1.9047619047619049,0.5170068027210885,2.0,9.105,33.91,16.565714285714286,10.075918367346938,9.105,1.062,0.2022857142857143,0.0,0.0,0.0,229.0,52.523809523809526,54.03174603174604,271,3.5414824276648043
