,n,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData minimum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData mean Column,MagpieData avg_dev Column,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData mean NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,label,distance
0,63.593833333333016,Hf2 Si2 Te2,14.0,72.0,14.0,90.0,71.0,17.333333333333332,45.0,111.39183333333334,55.53755555555555,722.66,1783.34,1638.5533333333333,722.66,11.333333333333334,4.888888888888888,1.111111111111111,111.0,175.0,141.33333333333334,22.444444444444446,111.0,1.3,2.1,1.7666666666666668,0.311111111111111,1.3,2.0,2.0,0.0,4.0,2.0,1.3333333333333333,0.0,0.0,10.0,4.0,4.0,14.0,4.0,18.0,12.666666666666666,5.777777777777779,4.0,0.0,0.0,0.0,4.0,4.0,2.0,1.3333333333333333,0.0,8.0,2.0,4.666666666666667,2.2222222222222223,2.0,20.44,34.7633333333,25.8011111111,5.974814814799998,20.44,0.4123333333333334,0.2748888888888889,0.0,152.0,227.0,75.0,191.0,26.0,152.0,1,7.259518138618201
1,134.86375000000007,As4,33.0,33.0,33.0,84.0,84.0,0.0,84.0,74.9216,0.0,1090.0,0.0,1090.0,1090.0,15.0,0.0,0.0,119.0,119.0,119.0,0.0,119.0,2.18,2.18,2.18,0.0,2.18,2.0,2.0,3.0,0.0,3.0,0.0,3.0,10.0,10.0,10.0,0.0,0.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,22.175,22.175,22.175,0.0,22.175,0.0,0.0,0.0,166.0,166.0,0.0,166.0,0.0,166.0,3,8.458104687299263
2,43.11466666666686,Ti2 Br2 O2,8.0,35.0,8.0,95.0,75.0,21.33333333333333,43.0,47.92346666666666,21.320355555555555,54.8,1886.2,753.8666666666668,54.8,12.333333333333334,5.5555555555555545,0.8888888888888888,66.0,160.0,115.33333333333331,32.88888888888889,66.0,1.54,3.44,2.6466666666666665,0.7377777777777778,1.54,2.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,10.0,4.0,4.0,0.0,4.0,17.0,9.0,5.333333333333333,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,8.0,1.0,3.6666666666666665,2.888888888888889,1.0,9.105,29.48,18.425,7.37,9.105,0.4856666666666667,0.6475555555555556,0.0,12.0,194.0,182.0,90.0,69.33333333333333,12.0,1,5.682777494308483
3,240.7154875,In2 Bi2,49.0,83.0,49.0,86.0,80.5,5.5,75.0,161.8992,47.0812,429.75,114.64999999999998,487.075,429.75,14.0,1.0,0.5,142.0,148.0,145.0,3.0,142.0,1.78,2.02,1.9,0.12,1.78,2.0,2.0,1.0,2.0,2.0,1.0,1.0,10.0,10.0,10.0,0.0,14.0,13.0,29.0,21.0,8.0,13.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,3.0,4.0,1.0,3.0,24.26,32.95,28.605000000000004,4.345000000000001,24.26,0.0,0.0,0.0,12.0,139.0,127.0,75.5,63.5,12.0,3,7.49153623404699
4,67.44283333333368,Nb1 O2,8.0,41.0,8.0,87.0,73.66666666666667,17.777777777777775,87.0,41.63506,34.18088,54.8,2695.2,953.2,54.8,12.333333333333334,4.888888888888888,1.3333333333333333,66.0,164.0,98.66666666666669,43.55555555555557,66.0,1.6,3.44,2.8266666666666667,0.8177777777777777,3.44,1.0,1.6666666666666667,0.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,4.0,1.3333333333333333,1.777777777777778,0.0,5.0,6.0,5.666666666666667,0.4444444444444443,6.0,1.0,0.3333333333333333,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,6.0,2.0,3.6666666666666665,2.222222222222222,2.0,9.105,18.18,12.13,4.033333333333333,9.105,0.0,0.0,0.0,12.0,229.0,217.0,84.33333333333333,96.44444444444446,12.0,2,6.0939325476481905
5,66.30685000000014,Sb2 As2 O6,8.0,51.0,8.0,87.0,86.0,1.2,87.0,48.93596,39.523872,54.8,1035.2,431.636,54.8,15.6,0.4800000000000001,1.2,66.0,139.0,91.2,30.24,66.0,2.05,3.44,2.91,0.6359999999999999,3.44,2.0,2.0,3.0,1.0,3.6,0.48,4.0,0.0,10.0,4.0,4.8,0.0,6.0,15.0,9.6,4.32,6.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,2.0,2.4,0.48,2.0,9.105,31.56,16.21,8.526,9.105,0.0,0.0,0.0,12.0,166.0,154.0,73.6,73.92,12.0,2,6.852765104546078
6,45.94237500000009,Mo2 O6,8.0,42.0,8.0,87.0,77.75,13.875,87.0,35.989549999999994,29.985225,54.8,2841.2,765.1,54.8,13.5,3.75,1.125,66.0,154.0,88.0,33.0,66.0,2.16,3.44,3.12,0.4799999999999998,3.44,1.0,1.75,0.0,4.0,3.0,1.5,4.0,0.0,5.0,1.25,1.875,0.0,6.0,6.0,6.0,0.0,6.0,1.0,0.25,0.0,2.0,2.0,1.5,0.75,2.0,5.0,2.0,3.0,1.5,2.0,9.105,15.69,10.75125,2.469375,9.105,0.0,0.0,0.0,12.0,229.0,217.0,66.25,81.375,12.0,2,5.44146496597898
7,89.47600000000034,Te6 Cr2 Ge2,24.0,52.0,52.0,90.0,79.6,12.48,90.0,101.48722,31.335335999999995,722.66,1457.34,1111.8759999999995,722.66,13.6,3.04,0.4800000000000001,120.0,139.0,134.6,5.840000000000003,138.0,1.66,2.1,1.994,0.1335999999999998,2.1,1.0,1.8,0.0,4.0,2.8,1.44,4.0,5.0,10.0,9.0,1.6,0.0,6.0,16.0,13.6,3.04,16.0,1.0,0.2,0.0,4.0,4.0,2.0,0.8,2.0,5.0,2.0,3.2,1.44,2.0,11.19,34.7633333333,27.69699999998,8.479599999983998,34.7633333333,0.355,0.142,0.464,152.0,229.0,77.0,182.0,36.0,152.0,0,5.859823193049182
8,36.73083333333338,Zr2 Br2 N2,7.0,40.0,7.0,95.0,73.66666666666667,19.77777777777777,44.0,61.71156666666666,31.803244444444445,63.05,2064.95,818.9500000000002,63.05,12.0,5.333333333333333,1.1111111111111112,71.0,175.0,122.0,35.333333333333336,71.0,1.33,3.04,2.4433333333333334,0.7422222222222222,1.33,2.0,2.0,0.0,5.0,2.6666666666666665,1.777777777777778,0.0,0.0,10.0,4.0,4.0,0.0,4.0,17.0,8.666666666666666,5.5555555555555545,4.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,8.0,1.0,4.0,2.6666666666666665,1.0,14.76875,29.48,22.48125,5.141666666666667,14.76875,2.631333333333333,2.537111111111112,0.0,64.0,194.0,130.0,150.66666666666666,57.77777777777778,64.0,1,4.894222479918847
9,76.13090000000078,Pd2 Se2 O6,8.0,46.0,8.0,89.0,82.4,8.159999999999997,87.0,46.67564,36.811488,54.8,1773.25,497.2900000000001,54.8,14.8,1.92,1.2,66.0,139.0,91.4,30.48,66.0,2.2,3.44,3.014,0.5111999999999999,3.44,0.0,1.6,0.0,4.0,3.2,1.2799999999999998,4.0,0.0,10.0,4.0,4.8,0.0,6.0,16.0,8.8,3.3600000000000003,6.0,0.0,0.0,0.0,2.0,2.0,1.6,0.6399999999999999,2.0,0.0,0.0,1.6,0.6399999999999999,2.0,9.105,25.92,13.529,5.3088,9.105,0.1598,0.25568,0.0,12.0,225.0,213.0,55.0,68.0,12.0,2,6.101596016252994
10,62.79912499999973,Br4 Nb2 O2,8.0,41.0,35.0,95.0,81.0,17.0,95.0,67.178445,25.5895225,54.8,2695.2,834.1,265.8,13.75,4.375,0.875,66.0,164.0,117.5,25.75,120.0,1.6,3.44,2.74,0.5700000000000001,2.96,1.0,1.75,0.0,5.0,3.5,1.75,5.0,0.0,10.0,6.0,4.0,0.0,5.0,17.0,11.25,5.75,17.0,1.0,0.25,0.0,2.0,2.0,1.0,0.5,1.0,6.0,1.0,2.75,2.125,1.0,9.105,29.48,21.56125,7.91875,29.48,0.7285,0.7285,1.457,12.0,229.0,217.0,92.25,68.375,64.0,2,5.929999015471379
11,57.38149999999997,Sr2 Sb2 Se4 F2,9.0,51.0,34.0,93.0,72.8,25.920000000000005,89.0,77.25968063999998,23.30451097600001,53.5,996.5,599.0559999999999,494.0,13.2,4.48,0.8,57.0,195.0,126.2,32.64,120.0,0.95,3.98,2.416,0.7327999999999999,2.55,2.0,2.0,0.0,5.0,3.2,1.36,4.0,0.0,10.0,6.0,4.8,0.0,2.0,16.0,11.2,5.36,16.0,0.0,0.0,0.0,3.0,3.0,1.6,0.8800000000000001,2.0,0.0,0.0,1.6,0.8800000000000001,2.0,9.7075,54.23,29.4675,10.742,25.92,0.7136,0.57088,0.799,14.0,225.0,211.0,86.8,86.96000000000001,14.0,2,7.2292079654377766
12,1.6598333333330828,Co2 O4,8.0,27.0,8.0,87.0,77.33333333333333,12.888888888888893,87.0,30.310665,19.081686666666663,54.8,1713.2,625.8666666666667,54.8,13.666666666666666,3.111111111111111,0.8888888888888888,66.0,126.0,86.0,26.666666666666668,66.0,1.88,3.44,2.92,0.6933333333333334,3.44,2.0,2.0,0.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,7.0,2.333333333333333,3.1111111111111107,0.0,6.0,9.0,7.0,1.3333333333333333,6.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,3.0,2.0,2.333333333333333,0.4444444444444445,2.0,9.105,10.245,9.485,0.5066666666666659,9.105,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,2,4.721004579419574
13,88.70622750000001,Ag2 I2,47.0,53.0,47.0,96.0,80.5,15.5,65.0,117.386335,9.518135,386.85,848.08,810.8900000000001,386.85,14.0,3.0,0.0,139.0,145.0,142.0,3.0,139.0,1.93,2.66,2.295,0.3650000000000001,1.93,1.0,1.5,0.0,5.0,2.5,2.5,0.0,10.0,10.0,10.0,0.0,0.0,11.0,17.0,14.0,3.0,11.0,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,16.33,43.015,29.6725,13.3425,16.33,0.531,0.531,0.0,64.0,225.0,161.0,144.5,80.5,64.0,0,7.119086382585809
