,n,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
0,2411.5,Fe0.62 C0.000953 Mn0.000521 Si0.00102 Cr0.00011 Ni0.192 Mo0.0176 V0.000112 Nb6.16e-05 Co0.146 Al0.00318 Ti0.0185,6.0,42.0,36.0,26.664768709322345,1.152116232529968,26.0,43.0,78.0,35.0,56.37786283510068,2.4375560658639803,55.0,12.0107,95.96,83.9493,57.24008321450784,2.4196580733009703,55.845,933.47,3823.0,2889.5299999999997,1809.275474332678,49.38140810843287,1811.0,4.0,14.0,10.0,8.447250438374748,0.8084787722634963,8.0,2.0,5.0,3.0,4.011554934435776,0.034913031749309084,4.0,76.0,164.0,88.0,130.3922648055472,3.9399107507766327,132.0,1.54,2.55,1.0099999999999998,1.8529584895909994,0.04203002707339548,1.83,1.0,2.0,1.0,1.9822294235852012,0.034909566057368946,2.0,0.0,2.0,2.0,0.007125589566040996,0.014177747035703124,0.0,0.0,8.0,8.0,6.406368393180552,0.7852497358251623,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.395723406331793,0.7924453324685555,8.0,0.0,1.0,1.0,0.017770576414798504,0.03490956605736862,0.0,0.0,5.0,5.0,0.023790629659731596,0.04733608721210338,0.0,0.0,8.0,8.0,3.5421045747764923,0.7869222955723308,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.583665780851023,0.778513225493503,4.0,5.64,20.44,14.8,10.801998865279154,0.44715045783574175,10.73,0.0,4.496,4.496,0.005072855803505718,0.010125695270951756,0.0,0.0,2.1106628,2.1106628,1.6489091148745292,0.5725415911599329,2.1106628,194.0,229.0,35.0,222.42051197851,9.409624115893395,229.0
1,1123.1,Fe0.623 C0.00854 Mn0.000104 Si0.000203 Cr0.147 Ni9.71e-05 Mo0.0179 V0.00515 N0.00163 Nb6.14e-05 Co0.188 W0.00729 Al0.000845,6.0,74.0,68.0,26.30074418358095,1.5228171047688621,26.0,46.0,82.0,36.0,54.76849684518371,2.0138017572215654,55.0,12.0107,183.84,171.8293,57.01578321125542,3.9696925926713296,55.845,63.05,3823.0,3759.95,1905.8335465716095,177.8745528492558,1811.0,5.0,15.0,10.0,7.896150358989438,0.683491342561118,8.0,2.0,6.0,4.0,4.01115540239473,0.06453100425920369,4.0,71.0,164.0,93.0,132.03234380571314,3.4938303422051735,132.0,1.55,3.04,1.49,1.831064827136471,0.054160959204525475,1.83,1.0,2.0,1.0,1.835008984112648,0.27553796112762297,2.0,0.0,3.0,3.0,0.023225168917820747,0.045929164395168705,0.0,0.0,8.0,8.0,5.9257160660338535,0.4969805748462512,6.0,0.0,14.0,14.0,0.10207832305898909,0.202668076969616,0.0,3.0,20.0,17.0,7.886028542123312,0.7380264175308973,8.0,0.0,1.0,1.0,0.16499101588735177,0.27553796112762285,0.0,0.0,5.0,5.0,0.04409491503724919,0.08720033894706529,0.0,0.0,7.0,7.0,3.9620837940410305,0.45109882747486635,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.1711697249656305,0.6609886696351783,4.0,5.64,20.44,14.8,10.816101105613974,0.41066218798613996,10.73,0.0,6.437,6.437,0.04905387417041359,0.09708989396242688,0.0,0.0,2.1106628,2.1106628,1.6064017041838228,0.628422127158782,2.1106628,194.0,229.0,35.0,222.05738139996126,11.123311113736788,229.0
2,1736.3,Fe0.625 Mn0.000102 Si0.0002 Cr0.0936 Ni0.129 Mo0.0048 V0.00011 Nb6.04e-05 Co0.132 Al0.00812 Ti0.00669,13.0,42.0,29.0,26.145400179096878,0.8583723194991346,26.0,43.0,78.0,35.0,55.65330829071312,2.2903494372715514,55.0,26.9815386,95.96,68.97846139999999,56.160791181653295,1.7724018697962136,55.845,933.47,2896.0,1962.53,1828.1560567636277,77.84048654380155,1811.0,4.0,14.0,10.0,8.2076927632216,0.751967194799386,8.0,3.0,5.0,2.0,3.99653930088196,0.016587682214547185,4.0,111.0,164.0,53.0,131.03525039552562,3.3164405745724017,132.0,1.54,2.16,0.6200000000000001,1.8288146715396807,0.03916069275230685,1.83,1.0,2.0,1.0,1.9015083190421278,0.1775821394799298,2.0,0.0,2.0,2.0,0.00852270681168339,0.016903550726364285,0.0,0.0,8.0,8.0,6.214435304652757,0.6682770157514629,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.124466330506568,0.7152557406988165,8.0,0.0,1.0,1.0,0.09849168095787221,0.17758213947992982,0.0,0.0,5.0,5.0,0.04141315281733479,0.08213697183937572,0.0,0.0,8.0,8.0,3.702338262632211,0.6864454968740221,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.842243096407418,0.6978725406435815,4.0,10.245,20.44,10.195000000000002,10.769146886844366,0.30334206330623065,10.73,0.0,0.773,0.773,0.00015464911655941926,0.00030923635381934926,0.0,0.0,2.1106628,2.1106628,1.6008769856109406,0.6374347172525238,2.1106628,194.0,229.0,35.0,223.5940290636306,8.212745331516144,229.0
3,2487.3,Fe0.634 C0.000478 Mn0.000523 Si0.00102 Cr0.000111 Ni0.173 Mo0.0237 V0.000113 Nb6.19e-05 Co0.146 Al0.00277 Ti0.0176,6.0,42.0,36.0,26.74329764876495,1.2354785980020062,26.0,43.0,78.0,35.0,56.22715343930803,2.3277235284941464,55.0,12.0107,95.96,83.9493,57.471595066464914,2.6799387776720867,55.845,933.47,3823.0,2889.5299999999997,1816.761991296777,57.7619580246282,1811.0,4.0,14.0,10.0,8.396015056982005,0.7741203635175898,8.0,2.0,5.0,3.0,4.019027756194886,0.04664859545997729,4.0,76.0,164.0,88.0,130.68351349726018,3.828545649258624,132.0,1.54,2.55,1.0099999999999998,1.8534756406717028,0.04261913884957984,1.83,1.0,2.0,1.0,1.9761122155214914,0.0466343164624338,2.0,0.0,2.0,2.0,0.005769595034666101,0.011489910099767258,0.0,0.0,8.0,8.0,6.371426635936853,0.7474955707624307,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.35330844649301,0.7590621827835521,8.0,0.0,1.0,1.0,0.02388778447850856,0.046634316462433774,0.0,0.0,5.0,5.0,0.019854371258731317,0.03953915993749253,0.0,0.0,8.0,8.0,3.5858667535741526,0.7508598081352668,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.6296089093113926,0.7481566605558603,4.0,5.64,20.44,14.8,10.834815062851874,0.48889158272427674,10.73,0.0,4.496,4.496,0.0029393795273835134,0.005869947183025706,0.0,0.0,2.1106628,2.1106628,1.6682803577707146,0.561290676967553,2.1106628,194.0,229.0,35.0,222.54184992668934,9.37781939883338,229.0
4,2249.6,Fe0.636 C0.000474 Mn0.000518 Si0.00101 Cr0.000109 Ni0.188 Mo0.0086 V0.000112 Nb6.12e-05 Co0.144 Al0.00274 Ti0.0184,6.0,42.0,36.0,26.526613255959216,0.9582194036684942,26.0,43.0,78.0,35.0,56.37543911437344,2.360987582518321,55.0,12.0107,95.96,83.9493,56.89629683284666,1.9385938776726896,55.845,933.47,3823.0,2889.5299999999997,1799.3393937866706,41.110684061157784,1811.0,4.0,14.0,10.0,8.450537496992574,0.7822260313523803,8.0,2.0,5.0,3.0,4.0039631040928825,0.017253331995028695,4.0,76.0,164.0,88.0,130.26724733261457,3.726511752737566,132.0,1.54,2.55,1.0099999999999998,1.8493506657138898,0.03773994043330098,1.83,1.0,2.0,1.0,1.9912300122337039,0.017386150161750203,2.0,0.0,2.0,2.0,0.0057078618697427525,0.011367504889306091,0.0,0.0,8.0,8.0,6.4113606450723895,0.7668379741929584,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.408298519175837,0.7688711765847719,8.0,0.0,1.0,1.0,0.008769987766296058,0.01738615016175015,0.0,0.0,5.0,5.0,0.01963552482029935,0.039105172741137784,0.0,0.0,8.0,8.0,3.5464003771108747,0.7687512370075171,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.574805889697469,0.7576527755619512,4.0,5.64,20.44,14.8,10.759184603387773,0.3554671527964028,10.73,0.0,4.496,4.496,0.0029117635353224456,0.005814885165606158,0.0,0.0,2.1106628,2.1106628,1.6772555828707454,0.5512806391969435,2.1106628,194.0,229.0,35.0,222.52837061343124,9.29856203733813,229.0
5,1328.3,Fe0.636 C0.00881 Mn0.000203 Si0.00972 Cr0.135 Ni0.00892 Mo0.0114 V0.000109 Nb6e-05 Co0.19 Al0.00062,6.0,42.0,36.0,25.819861676468417,1.086296287067615,26.0,46.0,78.0,32.0,55.18283605204417,2.022674792086512,55.0,12.0107,95.96,83.9493,55.72258457215724,2.3486413052560815,55.845,933.47,3823.0,2889.5299999999997,1880.2293323022018,138.38312855818666,1811.0,5.0,14.0,9.0,8.028585930646397,0.6312410272629262,8.0,2.0,5.0,3.0,3.983513881311936,0.05524206783313083,4.0,76.0,164.0,88.0,131.2863708757226,3.517116381744262,132.0,1.55,2.55,0.9999999999999998,1.8278221937128938,0.04572684952750554,1.83,1.0,2.0,1.0,1.853663215572488,0.24984465990185584,2.0,0.0,2.0,2.0,0.037648300131289454,0.0738558834511058,0.0,0.0,8.0,8.0,5.945935522290231,0.5055333683627187,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.837247037994009,0.686873058960439,8.0,0.0,1.0,1.0,0.14633678442751205,0.24984465990185584,0.0,0.0,5.0,5.0,0.07715503546014256,0.15135751911078527,0.0,0.0,7.0,7.0,3.862725585057382,0.5085809115394102,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.086217404945036,0.5623709721421386,4.0,5.64,20.44,14.8,10.80652197849411,0.4102120671923611,10.73,0.0,4.496,4.496,0.04708367554519096,0.09242389806212692,0.0,0.0,2.1106628,2.1106628,1.6405207340204548,0.5975175981083742,2.1106628,194.0,229.0,35.0,221.98751850941508,11.121058111298725,229.0
6,2501.1,Fe0.644 Mn0.000521 Si0.00102 Cr0.00011 Ni0.177 Mo0.0215 V0.000112 Nb6.17e-05 Co0.126 Al0.00234 Ti0.0269,13.0,42.0,29.0,26.673881840765283,1.2129465239460524,26.0,43.0,78.0,35.0,56.07202205119889,2.355335926518234,55.0,26.9815386,95.96,68.97846139999999,57.29175984747661,2.5780736785867946,55.845,933.47,2896.0,1962.53,1815.5256281059146,53.51202574276612,1811.0,4.0,14.0,10.0,8.346108561056628,0.7839136000594888,8.0,3.0,5.0,2.0,4.018209626650481,0.04235657680398388,4.0,111.0,164.0,53.0,131.01535478393745,3.8366782892734714,132.0,1.54,2.16,0.6200000000000001,1.8491177509569916,0.042825021148666154,1.83,1.0,2.0,1.0,1.9783188622007162,0.04242213212602478,2.0,0.0,2.0,2.0,0.0043819074443105085,0.008734355646987367,0.0,0.0,8.0,8.0,6.3297931589620955,0.760476381037635,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.312493928607124,0.7709642800151747,8.0,0.0,1.0,1.0,0.021681137799284027,0.04242213212602497,0.0,0.0,5.0,5.0,0.015786872025392657,0.03146761007065312,0.0,0.0,8.0,8.0,3.6365922085883984,0.7645455847393205,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.674060218413075,0.7628125446590137,4.0,10.245,20.44,10.195000000000002,10.88735102231381,0.5660457909328084,10.73,0.0,0.773,0.773,0.0007888033661052657,0.0015759968725717758,0.0,0.0,2.1106628,2.1106628,1.660482652118013,0.5800845412728155,2.1106628,194.0,229.0,35.0,222.92020146369714,8.85382052559856,229.0
7,1228.9,Fe0.646 C0.00479 Mn0.00597 Si0.00492 Cr0.135 Ni9.8e-05 Mo0.0534 V0.000113 N0.000821 Nb6.19e-05 Co0.148 Al0.00064,6.0,42.0,36.0,26.548558586752996,1.786246592710755,26.0,46.0,82.0,36.0,54.60031841925783,2.037711591812575,55.0,12.0107,95.96,83.9493,57.5221442057127,4.528286882654818,55.845,63.05,3823.0,3759.95,1917.7893734523998,193.72069858463504,1811.0,5.0,15.0,10.0,7.8320770495389205,0.7013828201325143,8.0,2.0,5.0,3.0,4.036686727399971,0.10302028777238724,4.0,71.0,164.0,93.0,132.84863673129573,4.002436557390856,132.0,1.55,3.04,1.49,1.8350181468771343,0.057515618328147465,1.83,1.0,2.0,1.0,1.8115030207121547,0.305931736174406,2.0,0.0,3.0,3.0,0.022527192310488987,0.04455098840834186,0.0,0.0,8.0,8.0,5.886316043415681,0.4770331809863722,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.720346256438325,0.7406747964893067,8.0,0.0,1.0,1.0,0.1884969792878455,0.3059317361744061,0.0,0.0,5.0,5.0,0.04451128354986864,0.08802791089714684,0.0,0.0,7.0,7.0,4.0019531634837255,0.3889780328226595,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.23496142632144,0.6762734094806907,4.0,5.64,20.44,14.8,11.01485633016824,0.6539564743625882,10.73,0.0,6.437,6.437,0.03062947714569682,0.06061371616493565,0.0,0.0,2.1106628,2.1106628,1.5930185672564843,0.6689208348719927,2.1106628,194.0,229.0,35.0,223.5381665527955,9.154543973956846,229.0
8,1088.6,Fe0.648 C0.000453 Mn9.91e-05 Si0.0386 Cr0.183 Ni0.0195 Mo0.000113 V0.000107 Nb5.86e-05 Co0.109 Al0.000605 Ti0.000569,6.0,42.0,36.0,25.30193898698806,1.3855572599020947,26.0,43.0,78.0,35.0,55.245508195291954,2.622469093278126,55.0,12.0107,95.96,83.9493,54.42567168275529,3.0022149043864728,55.845,933.47,3823.0,2889.5299999999997,1868.0721220988162,116.41063991383078,1811.0,4.0,14.0,10.0,8.016243399316092,0.7651429744461853,8.0,2.0,5.0,3.0,3.960064781217407,0.07704643142566932,4.0,76.0,164.0,88.0,131.65164737252007,3.1877556797168176,132.0,1.54,2.55,1.0099999999999998,1.8086069538519316,0.05504429762085976,1.83,1.0,2.0,1.0,1.8168475760587866,0.2992152270913428,2.0,0.0,2.0,2.0,0.07870275982104673,0.15116378505373873,0.0,0.0,8.0,8.0,5.724154581015367,0.7243121002062428,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.619704916895201,0.8865054469414578,8.0,0.0,1.0,1.0,0.18315242394121334,0.29921522709134274,0.0,0.0,5.0,5.0,0.15922032963148758,0.3058132616864503,0.0,0.0,8.0,8.0,3.8793069365637414,0.5726130390921788,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.221679690136443,0.6575142309197154,4.0,5.64,20.44,14.8,11.133864922135754,0.7539488196962204,10.73,0.0,4.496,4.496,0.031871151090480825,0.061253234659258075,0.0,0.0,2.1106628,2.1106628,1.5479410259790072,0.7293266365689346,2.1106628,194.0,229.0,35.0,224.99084055899345,6.820218227713524,229.0
9,1502.0,Fe0.648 C0.00751 Mn0.000103 Si0.000201 Cr0.158 Ni9.61e-05 Mo0.0288 V0.00531 N0.00201 Nb6.07e-05 Co0.149 Al0.000836,6.0,42.0,36.0,26.077205351431722,1.1944143965664962,26.0,46.0,82.0,36.0,54.546119775967604,2.106784956595744,55.0,12.0107,95.96,83.9493,56.3857587049478,3.0437122463391195,55.845,63.05,3823.0,3759.95,1906.982492338439,175.0659869144737,1811.0,5.0,15.0,10.0,7.823880208031228,0.7119559070822664,8.0,2.0,5.0,3.0,4.008784343013908,0.057218543820564335,4.0,71.0,164.0,93.0,132.40244705912474,3.553046912809964,132.0,1.55,3.04,1.49,1.8266660929580045,0.055205896539830435,1.83,1.0,2.0,1.0,1.813125620795442,0.303904691202938,2.0,0.0,3.0,3.0,0.022289631601033193,0.044108605468296064,0.0,0.0,8.0,8.0,5.882887227345041,0.4851201794840466,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.718302479741516,0.747519107954118,8.0,0.0,1.0,1.0,0.18687437920455777,0.30390469120293795,0.0,0.0,5.0,5.0,0.0410570053727933,0.081247069674059,0.0,0.0,7.0,7.0,4.011535044365248,0.4015024186575053,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.239466428942598,0.6888660444881032,4.0,5.64,20.44,14.8,10.862418035879536,0.43425832390346725,10.73,0.0,6.437,6.437,0.04686213330815816,0.0928131063236057,0.0,0.0,2.1106628,2.1106628,1.5986059705301443,0.6636742319467119,2.1106628,194.0,229.0,35.0,223.44602704918,9.337579808086108,229.0
